status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5205166.53054,-7917017.30591,,,,,2016-01-14,10:19:00,,,,,,
,,,,,,5204434.09782,-7912400.04257,,,,,2016-01-14,02:22:00,,,,,,
,,,,,,5210730.94426,-7912243.33677,,,,,2016-01-14,06:46:00,,,,,,
,,,,,,5209968.43992,-7912078.85055,,,,,2016-01-14,09:01:00,,,,,,
,,,,,,5204462.38823,-7911290.52153,,,,,2016-01-15,09:43:00,,,,,,
,,,,,,5203252.68779,-7913369.89168,,,,,2016-01-15,11:22:00,,,,,,
,,,,,,5207362.67048,-7915090.37494,,,,,2016-01-15,11:19:00,,,,,,
,,,,,,5205258.08684,-7913459.97049,,,,,2016-01-15,05:18:00,,,,,,
,,,,,,5214171.91714,-7909721.77122,,,,,2016-01-16,02:10:00,,,,,,
,,,,,,5215466.45307,-7909800.39656,,,,,2016-01-16,03:30:00,,,,,,
,,,,,,5217306.57855,-7911363.12945,,,,,2016-01-16,06:41:00,,,,,,
,,,,,,5216221.09288,-7910609.49286,,,,,2016-01-16,08:10:00,,,,,,
,,,,,,5219114.72488,-7904371.85397,,,,,2016-01-16,09:29:00,,,,,,
,,,,,,5208742.41891,-7913612.90216,,,,,2016-01-16,11:20:00,,,,,,
,,,,,,5208742.41891,-7913612.90216,,,,,2016-01-16,11:43:00,,,,,,
,,,,,,5215492.78623,-7909959.83442,,,,,2016-01-16,07:01:00,,,,,,
,,,,,,5214614.19314,-7909398.78305,,,,,2016-01-17,01:46:00,,,,,,
,,,,,,5207733.60732,-7911502.36108,,,,,2016-01-17,02:09:00,,,,,,
,,,,,,5207733.60732,-7911502.36108,,,,,2016-01-17,02:12:00,,,,,,
,,,,,,5206966.66842,-7911142.93452,,,,,2016-01-17,11:08:00,,,,,,
,,,,,,5215958.02946,-7910160.87567,,,,,2016-01-17,06:16:00,,,,,,
,,,,,,5200653.79621,-7920862.04206,,,,,2016-01-17,06:39:00,,,,,,
